text,category
Rs.3721.48 Dr. from A/C XXXXXXXX and Cr. to POS FOOD. Ref:977076310520. AvlBal:Rs13385.97.,Food & Dining
Rs.917.97 Dr. from A/C XXXXXXXX and Cr. to BYJUS. Ref:975460394539. AvlBal:Rs41781.58.,Education
Rs.3554.65 Dr. from A/C XXXXXXXX and Cr. to NAYARA ENERGY. Ref:816539179686. AvlBal:Rs47981.76.,Transport
Rs.3343.69 Dr. from A/C XXXXXXXX and Cr. to SIP PAYMENT. Ref:476254025002. AvlBal:Rs18000.33.,Investment
Rs.2814.95 Dr. from A/C XXXXXXXX and Cr. to LOCAL STORE. Ref:955165582612. AvlBal:Rs16555.71.,Groceries
Rs.988.35 Dr. from A/C XXXXXXXX and Cr. to AJIO. Ref:612418989501. AvlBal:Rs6784.11.,Shopping
Rs.1108.22 Dr. from A/C XXXXXXXX and Cr. to EDUCATION PAYMENT. Ref:481788091826. AvlBal:Rs44002.07.,Education
Rs.417.56 Dr. from A/C XXXXXXXX and Cr. to BESCOM. Ref:923772767908. AvlBal:Rs17216.94.,Bills & Utilities
Rs.2661.13 Dr. from A/C XXXXXXXX and Cr. to NHAI FASTAG. Ref:569466375297. AvlBal:Rs38162.56.,Transport
Rs.1382.89 Dr. from A/C XXXXXXXX and Cr. to MEESHO. Ref:382281158425. AvlBal:Rs20937.73.,Shopping
Rs.4705.43 Dr. from A/C XXXXXXXX and Cr. to VI. Ref:454636206327. AvlBal:Rs11043.51.,Bills & Utilities
Rs.3904.91 Dr. from A/C XXXXXXXX and Cr. to PRACTO. Ref:489616533401. AvlBal:Rs33053.74.,Health
Rs.4591.44 Dr. from A/C XXXXXXXX and Cr. to RELIANCE SMART. Ref:314781755227. AvlBal:Rs34161.41.,Groceries
Rs.979.64 Dr. from A/C XXXXXXXX and Cr. to METRO. Ref:753831700523. AvlBal:Rs25850.43.,Transport
Rs.3948.34 Dr. from A/C XXXXXXXX and Cr. to ONLINE TRANSFER. Ref:535642008079. AvlBal:Rs14522.55.,Other
Rs.357.77 Dr. from A/C XXXXXXXX and Cr. to IRCTC. Ref:524218850330. AvlBal:Rs4560.18.,Transport
Rs.1511.13 Dr. from A/C XXXXXXXX and Cr. to NILGIRIS. Ref:849656671149. AvlBal:Rs5690.16.,Groceries
Rs.4105.63 Dr. from A/C XXXXXXXX and Cr. to SWIGGY INSTAMART. Ref:190340085969. AvlBal:Rs36740.35.,Food & Dining
Rs.4750.75 Dr. from A/C XXXXXXXX and Cr. to STARBUCKS. Ref:773995519104. AvlBal:Rs17343.94.,Food & Dining
Rs.194.99 Dr. from A/C XXXXXXXX and Cr. to MORE SUPERMARKET. Ref:615307380891. AvlBal:Rs549.08.,Groceries
Rs.4591.94 Dr. from A/C XXXXXXXX and Cr. to SUPERMARKET. Ref:857951689435. AvlBal:Rs1760.6.,Groceries
Rs.1343.62 Dr. from A/C XXXXXXXX and Cr. to ACT FIBERNET. Ref:735383868417. AvlBal:Rs2813.59.,Bills & Utilities
Rs.2884.99 Dr. from A/C XXXXXXXX and Cr. to COURSERA. Ref:707911060507. AvlBal:Rs2327.13.,Education
Rs.4218.06 Dr. from A/C XXXXXXXX and Cr. to CAFE. Ref:902792967359. AvlBal:Rs45632.32.,Food & Dining
Rs.706.31 Dr. from A/C XXXXXXXX and Cr. to UTILITY BILL. Ref:460089777260. AvlBal:Rs47733.09.,Bills & Utilities
Rs.136.43 Dr. from A/C XXXXXXXX and Cr. to ANGEL ONE. Ref:441035879393. AvlBal:Rs1456.28.,Investment
Rs.2406.08 Dr. from A/C XXXXXXXX and Cr. to CHAI POINT. Ref:451032087166. AvlBal:Rs29865.78.,Food & Dining
Rs.3998.75 Dr. from A/C XXXXXXXX and Cr. to PVR CINEMAS. Ref:355935292719. AvlBal:Rs31224.06.,Entertainment
Rs.4619.69 Dr. from A/C XXXXXXXX and Cr. to POS SHOP. Ref:467075894570. AvlBal:Rs20357.49.,Shopping
Rs.730.39 Dr. from A/C XXXXXXXX and Cr. to LIFESTYLE. Ref:388005960284. AvlBal:Rs24539.35.,Shopping
Rs.4215.24 Dr. from A/C XXXXXXXX and Cr. to TOLL PLAZA. Ref:122021137757. AvlBal:Rs15321.77.,Transport
Rs.1568.12 Dr. from A/C XXXXXXXX and Cr. to UDEMY. Ref:660551330118. AvlBal:Rs40684.12.,Education
Rs.1117.75 Dr. from A/C XXXXXXXX and Cr. to KUVERA. Ref:574845865004. AvlBal:Rs42574.66.,Investment
Rs.4399.28 Dr. from A/C XXXXXXXX and Cr. to SPAR. Ref:918780436016. AvlBal:Rs46420.0.,Groceries
Rs.2571.62 Dr. from A/C XXXXXXXX and Cr. to DMART. Ref:506273360583. AvlBal:Rs43096.87.,Groceries
Rs.2910.07 Dr. from A/C XXXXXXXX and Cr. to COURSERA. Ref:660532666558. AvlBal:Rs9704.42.,Education
Rs.2243.61 Dr. from A/C XXXXXXXX and Cr. to MORE SUPERMARKET. Ref:686699288904. AvlBal:Rs34920.58.,Groceries
Rs.2526.58 Dr. from A/C XXXXXXXX and Cr. to YOUTUBE PREMIUM. Ref:174517247510. AvlBal:Rs19647.05.,Entertainment
Rs.846.05 Dr. from A/C XXXXXXXX and Cr. to ECOM PURCHASE. Ref:644829352552. AvlBal:Rs38918.2.,Shopping
Rs.4098.15 Dr. from A/C XXXXXXXX and Cr. to NETFLIX. Ref:700903172493. AvlBal:Rs48094.07.,Entertainment
Rs.2788.9 Dr. from A/C XXXXXXXX and Cr. to PANTALOONS. Ref:701545210975. AvlBal:Rs7487.39.,Shopping
Rs.3450.8 Dr. from A/C XXXXXXXX and Cr. to RESTAURANT. Ref:194164526900. AvlBal:Rs7925.82.,Food & Dining
Rs.1164.65 Dr. from A/C XXXXXXXX and Cr. to FIRSTCRY. Ref:620808432962. AvlBal:Rs20728.94.,Shopping
Rs.243.16 Dr. from A/C XXXXXXXX and Cr. to RELIANCE FRESH. Ref:795538083241. AvlBal:Rs21128.68.,Groceries
Rs.187.32 Dr. from A/C XXXXXXXX and Cr. to MOVIE TICKET. Ref:353453193270. AvlBal:Rs35502.13.,Entertainment
Rs.2721.08 Dr. from A/C XXXXXXXX and Cr. to APOLLO HOSPITALS. Ref:702948892193. AvlBal:Rs11179.63.,Health
Rs.2314.93 Dr. from A/C XXXXXXXX and Cr. to ELECTRICITY BILL. Ref:740515419046. AvlBal:Rs6346.0.,Bills & Utilities
Rs.1999.26 Dr. from A/C XXXXXXXX and Cr. to FIRSTCRY. Ref:697115820260. AvlBal:Rs36094.82.,Shopping
Rs.1575.73 Dr. from A/C XXXXXXXX and Cr. to WATER BOARD. Ref:594802566381. AvlBal:Rs46378.01.,Bills & Utilities
Rs.2026.35 Dr. from A/C XXXXXXXX and Cr. to ETMONEY. Ref:786741725850. AvlBal:Rs26281.84.,Investment
Rs.3665.22 Dr. from A/C XXXXXXXX and Cr. to ONLINE FOOD. Ref:273106586583. AvlBal:Rs18808.48.,Food & Dining
Rs.2833.52 Dr. from A/C XXXXXXXX and Cr. to KFC. Ref:964491947073. AvlBal:Rs12519.6.,Food & Dining
Rs.2636.45 Dr. from A/C XXXXXXXX and Cr. to WYNK MUSIC. Ref:610579960004. AvlBal:Rs23423.92.,Entertainment
Rs.999.9 Dr. from A/C XXXXXXXX and Cr. to MSEB. Ref:364032418975. AvlBal:Rs14673.18.,Bills & Utilities
Rs.1504.14 Dr. from A/C XXXXXXXX and Cr. to JIO. Ref:741101832052. AvlBal:Rs30379.46.,Bills & Utilities
Rs.2264.07 Dr. from A/C XXXXXXXX and Cr. to MEDICAL STORE. Ref:498631793461. AvlBal:Rs434.13.,Health
Rs.4213.74 Dr. from A/C XXXXXXXX and Cr. to DIAGNOSTIC LAB. Ref:797657289751. AvlBal:Rs18780.21.,Health
Rs.1667.31 Dr. from A/C XXXXXXXX and Cr. to PARKING CHARGES. Ref:229964032627. AvlBal:Rs26210.49.,Transport
Rs.3251.95 Dr. from A/C XXXXXXXX and Cr. to REVERSAL. Ref:461999797328. AvlBal:Rs21256.66.,Other
Rs.2313.65 Dr. from A/C XXXXXXXX and Cr. to MERCHANT STORE. Ref:500751241751. AvlBal:Rs14610.87.,Shopping
Rs.1610.1 Dr. from A/C XXXXXXXX and Cr. to MUTUAL FUND SIP. Ref:986823249420. AvlBal:Rs33352.09.,Investment
Rs.1567.9 Dr. from A/C XXXXXXXX and Cr. to BHARAT PETROLEUM. Ref:146259990138. AvlBal:Rs20216.52.,Transport
Rs.191.1 Dr. from A/C XXXXXXXX and Cr. to KSEB. Ref:669303903603. AvlBal:Rs7960.49.,Bills & Utilities
Rs.2378.41 Dr. from A/C XXXXXXXX and Cr. to ZOMATO. Ref:497668862306. AvlBal:Rs31326.94.,Food & Dining
Rs.3458.38 Dr. from A/C XXXXXXXX and Cr. to WOW MOMO. Ref:960713338460. AvlBal:Rs24811.55.,Food & Dining
Rs.95.84 Dr. from A/C XXXXXXXX and Cr. to CAB PAYMENT. Ref:654490050427. AvlBal:Rs47837.47.,Transport
Rs.1309.99 Dr. from A/C XXXXXXXX and Cr. to UPSTOX. Ref:631439798096. AvlBal:Rs23771.8.,Investment
Rs.1128.61 Dr. from A/C XXXXXXXX and Cr. to ATM WITHDRAWAL. Ref:679001506983. AvlBal:Rs6427.07.,Other
Rs.4180.13 Dr. from A/C XXXXXXXX and Cr. to YOUTUBE PREMIUM. Ref:898868310046. AvlBal:Rs44017.79.,Entertainment
Rs.4819.08 Dr. from A/C XXXXXXXX and Cr. to HOSPITAL PAYMENT. Ref:814840778899. AvlBal:Rs9977.82.,Health
Rs.2566.68 Dr. from A/C XXXXXXXX and Cr. to POS SHOP. Ref:259635918468. AvlBal:Rs14941.29.,Shopping
Rs.3912.11 Dr. from A/C XXXXXXXX and Cr. to MUTUAL FUND SIP. Ref:878717867212. AvlBal:Rs237.43.,Investment
Rs.3020.26 Dr. from A/C XXXXXXXX and Cr. to AMAZON. Ref:470745017194. AvlBal:Rs33960.61.,Shopping
Rs.2779.07 Dr. from A/C XXXXXXXX and Cr. to ZUDIO. Ref:633076307341. AvlBal:Rs31788.8.,Shopping
Rs.1436.22 Dr. from A/C XXXXXXXX and Cr. to BOOKMYSHOW. Ref:716637453851. AvlBal:Rs37743.35.,Entertainment
Rs.2084.97 Dr. from A/C XXXXXXXX and Cr. to TATA CLIQ. Ref:399407834422. AvlBal:Rs24621.37.,Shopping
Rs.1114.78 Dr. from A/C XXXXXXXX and Cr. to CASH WITHDRAWAL. Ref:920496445713. AvlBal:Rs41803.21.,Other
Rs.4117.41 Dr. from A/C XXXXXXXX and Cr. to NHAI FASTAG. Ref:607771253258. AvlBal:Rs41872.2.,Transport
Rs.3406.76 Dr. from A/C XXXXXXXX and Cr. to FORTIS. Ref:435818607690. AvlBal:Rs33759.11.,Health
Rs.3559.88 Dr. from A/C XXXXXXXX and Cr. to ONLINE SHOPPING. Ref:638331745658. AvlBal:Rs23308.91.,Shopping
Rs.4300.22 Dr. from A/C XXXXXXXX and Cr. to FLIPKART. Ref:897098930606. AvlBal:Rs13657.41.,Shopping
Rs.236.37 Dr. from A/C XXXXXXXX and Cr. to INDANE. Ref:651937172955. AvlBal:Rs4460.69.,Bills & Utilities
Rs.4969.93 Dr. from A/C XXXXXXXX and Cr. to UNKNOWN MERCHANT. Ref:724171429505. AvlBal:Rs39740.92.,Other
Rs.2013.74 Dr. from A/C XXXXXXXX and Cr. to EXAM FEES. Ref:907634159051. AvlBal:Rs7028.44.,Education
Rs.1776.59 Dr. from A/C XXXXXXXX and Cr. to DINING. Ref:832380924494. AvlBal:Rs40239.86.,Food & Dining
Rs.2422.45 Dr. from A/C XXXXXXXX and Cr. to RELIANCE SMART. Ref:795566724485. AvlBal:Rs48999.69.,Groceries
Rs.684.69 Dr. from A/C XXXXXXXX and Cr. to STOCK SELL. Ref:527564159385. AvlBal:Rs14894.58.,Investment
Rs.2637.31 Dr. from A/C XXXXXXXX and Cr. to MORE SUPERMARKET. Ref:494734141627. AvlBal:Rs431.85.,Groceries
Rs.4458.3 Dr. from A/C XXXXXXXX and Cr. to WATER BOARD. Ref:724921244320. AvlBal:Rs913.2.,Bills & Utilities
Rs.4459.55 Dr. from A/C XXXXXXXX and Cr. to BURGER KING. Ref:873156828405. AvlBal:Rs23015.86.,Food & Dining
Rs.3944.63 Dr. from A/C XXXXXXXX and Cr. to TRAVEL. Ref:246530707979. AvlBal:Rs12381.26.,Transport
Rs.1842.82 Dr. from A/C XXXXXXXX and Cr. to UNKNOWN MERCHANT. Ref:414058896199. AvlBal:Rs49059.72.,Other
Rs.3025.31 Dr. from A/C XXXXXXXX and Cr. to BESCOM. Ref:157225374598. AvlBal:Rs41456.18.,Bills & Utilities
Rs.4802.61 Dr. from A/C XXXXXXXX and Cr. to UPI CASHBACK. Ref:815877752992. AvlBal:Rs3511.05.,Other
Rs.3532.0 Dr. from A/C XXXXXXXX and Cr. to GROCERY STORE. Ref:197317736410. AvlBal:Rs10389.56.,Groceries
Rs.1224.26 Dr. from A/C XXXXXXXX and Cr. to ANGEL ONE. Ref:246142982485. AvlBal:Rs8599.41.,Investment
Rs.1771.08 Dr. from A/C XXXXXXXX and Cr. to ZERODHA. Ref:161706443817. AvlBal:Rs7878.43.,Investment
Rs.3164.05 Dr. from A/C XXXXXXXX and Cr. to AMAZON PRIME VIDEO. Ref:154240698101. AvlBal:Rs32908.44.,Entertainment
Rs.2043.78 Dr. from A/C XXXXXXXX and Cr. to SARAVANA BHAVAN. Ref:166026923810. AvlBal:Rs5999.39.,Food & Dining
Rs.3744.51 Dr. from A/C XXXXXXXX and Cr. to INDIAN OIL. Ref:545074201376. AvlBal:Rs20010.94.,Transport
Rs.4855.15 Dr. from A/C XXXXXXXX and Cr. to BOUNCE. Ref:309771078942. AvlBal:Rs46825.87.,Transport
Rs.3217.11 Dr. from A/C XXXXXXXX and Cr. to SCHOOL FEES. Ref:675002663170. AvlBal:Rs22683.14.,Education
Rs.4373.48 Dr. from A/C XXXXXXXX and Cr. to COIN BY ZERODHA. Ref:607410692777. AvlBal:Rs44642.92.,Investment
Rs.4155.92 Dr. from A/C XXXXXXXX and Cr. to TATA PLAY. Ref:996131390653. AvlBal:Rs45208.88.,Bills & Utilities
Rs.1185.62 Dr. from A/C XXXXXXXX and Cr. to TUITION FEES. Ref:147662636536. AvlBal:Rs49079.29.,Education
Rs.2938.82 Dr. from A/C XXXXXXXX and Cr. to SUPERMARKET. Ref:117807886691. AvlBal:Rs29903.15.,Groceries
Rs.1050.61 Dr. from A/C XXXXXXXX and Cr. to FAASOS. Ref:975075718080. AvlBal:Rs3453.48.,Food & Dining
Rs.2193.0 Dr. from A/C XXXXXXXX and Cr. to MANIPAL HOSPITALS. Ref:289508763950. AvlBal:Rs9876.0.,Health
Rs.3296.24 Dr. from A/C XXXXXXXX and Cr. to HEALTHCARE. Ref:863381786107. AvlBal:Rs2653.98.,Health
Rs.590.15 Dr. from A/C XXXXXXXX and Cr. to WOW MOMO. Ref:869944983373. AvlBal:Rs665.23.,Food & Dining
Rs.1970.53 Dr. from A/C XXXXXXXX and Cr. to BEHROUZ BIRYANI. Ref:717989962664. AvlBal:Rs9427.33.,Food & Dining
Rs.548.35 Dr. from A/C XXXXXXXX and Cr. to AIIMS. Ref:227278152884. AvlBal:Rs20406.04.,Health
Rs.1780.77 Dr. from A/C XXXXXXXX and Cr. to UNKNOWN MERCHANT. Ref:146331548130. AvlBal:Rs15466.4.,Other
Rs.3705.85 Dr. from A/C XXXXXXXX and Cr. to HOSPITAL PAYMENT. Ref:857959110346. AvlBal:Rs30304.94.,Health
Rs.4148.04 Dr. from A/C XXXXXXXX and Cr. to GAANA. Ref:989563436319. AvlBal:Rs48467.2.,Entertainment
Rs.1156.49 Dr. from A/C XXXXXXXX and Cr. to SARAVANA BHAVAN. Ref:384606004816. AvlBal:Rs5221.58.,Food & Dining
Rs.4612.43 Dr. from A/C XXXXXXXX and Cr. to MX PLAYER. Ref:562855887391. AvlBal:Rs33518.51.,Entertainment
Rs.125.59 Dr. from A/C XXXXXXXX and Cr. to ENTERTAINMENT. Ref:700125341468. AvlBal:Rs44066.16.,Entertainment
Rs.1133.28 Dr. from A/C XXXXXXXX and Cr. to AIRTEL. Ref:751101385250. AvlBal:Rs35214.02.,Bills & Utilities
Rs.813.4 Dr. from A/C XXXXXXXX and Cr. to SUPERMARKET. Ref:416780332682. AvlBal:Rs38257.88.,Groceries
Rs.1692.23 Dr. from A/C XXXXXXXX and Cr. to POS TRANSPORT. Ref:321395333409. AvlBal:Rs1270.96.,Transport
Rs.430.18 Dr. from A/C XXXXXXXX and Cr. to AMAZON PRIME VIDEO. Ref:927699457522. AvlBal:Rs7073.55.,Entertainment
Rs.382.6 Dr. from A/C XXXXXXXX and Cr. to MUTUAL FUND SIP. Ref:897913468896. AvlBal:Rs27065.48.,Investment
Rs.4082.63 Dr. from A/C XXXXXXXX and Cr. to EATSURE. Ref:378221205905. AvlBal:Rs26935.98.,Food & Dining
Rs.4393.0 Dr. from A/C XXXXXXXX and Cr. to COURSERA. Ref:802597526445. AvlBal:Rs22970.38.,Education
Rs.4396.98 Dr. from A/C XXXXXXXX and Cr. to CHAI POINT. Ref:678015872970. AvlBal:Rs45866.05.,Food & Dining
Rs.2815.2 Dr. from A/C XXXXXXXX and Cr. to PVR CINEMAS. Ref:595824878259. AvlBal:Rs42051.49.,Entertainment
Rs.918.49 Dr. from A/C XXXXXXXX and Cr. to WESTSIDE. Ref:348999013531. AvlBal:Rs28819.13.,Shopping
Rs.1884.07 Dr. from A/C XXXXXXXX and Cr. to PHARMEASY. Ref:363065504137. AvlBal:Rs37438.47.,Health
Rs.3195.21 Dr. from A/C XXXXXXXX and Cr. to STREAMING. Ref:989729472207. AvlBal:Rs17340.19.,Entertainment
Rs.4679.25 Dr. from A/C XXXXXXXX and Cr. to SCAN CENTER. Ref:355935032289. AvlBal:Rs3494.65.,Health
Rs.4123.85 Dr. from A/C XXXXXXXX and Cr. to ONLINE TRANSFER. Ref:571436010344. AvlBal:Rs46423.83.,Other
Rs.2570.63 Dr. from A/C XXXXXXXX and Cr. to PAYTM MONEY. Ref:230245146073. AvlBal:Rs2603.94.,Investment
Rs.2535.35 Dr. from A/C XXXXXXXX and Cr. to IPO APPLICATION. Ref:415434055470. AvlBal:Rs49754.04.,Investment
Rs.4902.76 Dr. from A/C XXXXXXXX and Cr. to TNEB. Ref:874607745700. AvlBal:Rs10971.28.,Bills & Utilities
Rs.2333.48 Dr. from A/C XXXXXXXX and Cr. to SCALER. Ref:673156920378. AvlBal:Rs7589.89.,Education
Rs.2435.86 Dr. from A/C XXXXXXXX and Cr. to STOCK SELL. Ref:118320230074. AvlBal:Rs18535.92.,Investment
Rs.3399.4 Dr. from A/C XXXXXXXX and Cr. to LEARNING PLATFORM. Ref:921671131404. AvlBal:Rs2874.5.,Education
Rs.94.76 Dr. from A/C XXXXXXXX and Cr. to ACT FIBERNET. Ref:912046788022. AvlBal:Rs10686.83.,Bills & Utilities
Rs.4093.43 Dr. from A/C XXXXXXXX and Cr. to MYNTRA. Ref:823432630072. AvlBal:Rs8869.16.,Shopping
Rs.4046.12 Dr. from A/C XXXXXXXX and Cr. to BOX8. Ref:544078364945. AvlBal:Rs42706.57.,Food & Dining
Rs.3603.24 Dr. from A/C XXXXXXXX and Cr. to MEAL PAYMENT. Ref:936690596571. AvlBal:Rs42845.23.,Food & Dining
Rs.1994.54 Dr. from A/C XXXXXXXX and Cr. to HATHWAY. Ref:165198403705. AvlBal:Rs8621.09.,Bills & Utilities
Rs.2319.34 Dr. from A/C XXXXXXXX and Cr. to SPAR. Ref:758626937052. AvlBal:Rs42551.83.,Groceries
Rs.3999.08 Dr. from A/C XXXXXXXX and Cr. to NAYARA ENERGY. Ref:218352562513. AvlBal:Rs4202.29.,Transport
Rs.2097.58 Dr. from A/C XXXXXXXX and Cr. to PARKING CHARGES. Ref:971608422620. AvlBal:Rs15966.69.,Transport
Rs.4696.99 Dr. from A/C XXXXXXXX and Cr. to PVR CINEMAS. Ref:730595722662. AvlBal:Rs1647.33.,Entertainment
Rs.969.08 Dr. from A/C XXXXXXXX and Cr. to INDANE. Ref:422003653431. AvlBal:Rs24816.86.,Bills & Utilities
Rs.2477.91 Dr. from A/C XXXXXXXX and Cr. to TATA PLAY. Ref:864950996805. AvlBal:Rs49825.72.,Bills & Utilities
Rs.2322.98 Dr. from A/C XXXXXXXX and Cr. to CROMA. Ref:497587357318. AvlBal:Rs30196.86.,Shopping
Rs.1788.46 Dr. from A/C XXXXXXXX and Cr. to AIRTEL. Ref:170642990584. AvlBal:Rs38334.89.,Bills & Utilities
Rs.4900.98 Dr. from A/C XXXXXXXX and Cr. to GAANA. Ref:805697232921. AvlBal:Rs12308.31.,Entertainment
Rs.609.84 Dr. from A/C XXXXXXXX and Cr. to PVR CINEMAS. Ref:969075640267. AvlBal:Rs30615.6.,Entertainment
Rs.446.92 Dr. from A/C XXXXXXXX and Cr. to DOCTOR CONSULT. Ref:791445565015. AvlBal:Rs9835.07.,Health
Rs.4251.25 Dr. from A/C XXXXXXXX and Cr. to BOOKMYSHOW. Ref:448724051064. AvlBal:Rs3914.4.,Entertainment
Rs.624.6 Dr. from A/C XXXXXXXX and Cr. to FASTAG. Ref:715019657953. AvlBal:Rs15021.46.,Transport
Rs.2116.13 Dr. from A/C XXXXXXXX and Cr. to FASTAG. Ref:169555006540. AvlBal:Rs37320.73.,Transport
Rs.1432.61 Dr. from A/C XXXXXXXX and Cr. to UNKNOWN MERCHANT. Ref:593669333370. AvlBal:Rs992.62.,Other
Rs.224.86 Dr. from A/C XXXXXXXX and Cr. to MISC. Ref:599998817912. AvlBal:Rs47177.4.,Other
Rs.3140.46 Dr. from A/C XXXXXXXX and Cr. to BOX8. Ref:244706927931. AvlBal:Rs37756.3.,Food & Dining
Rs.621.7 Dr. from A/C XXXXXXXX and Cr. to A2B. Ref:634749123952. AvlBal:Rs7191.88.,Food & Dining
Rs.1888.9 Dr. from A/C XXXXXXXX and Cr. to INVESTMENT. Ref:575640275153. AvlBal:Rs6180.06.,Investment
Rs.820.98 Dr. from A/C XXXXXXXX and Cr. to TRANSPORT. Ref:178110765655. AvlBal:Rs13030.97.,Transport
Rs.3625.57 Dr. from A/C XXXXXXXX and Cr. to ATM WITHDRAWAL. Ref:504508650723. AvlBal:Rs43555.44.,Other
Rs.3985.0 Dr. from A/C XXXXXXXX and Cr. to DECATHLON. Ref:620492737839. AvlBal:Rs5476.75.,Shopping
Rs.3195.59 Dr. from A/C XXXXXXXX and Cr. to BYJUS. Ref:794207997319. AvlBal:Rs47478.89.,Education
Rs.1531.95 Dr. from A/C XXXXXXXX and Cr. to CASH WITHDRAWAL. Ref:985392775551. AvlBal:Rs28433.76.,Other
Rs.4550.57 Dr. from A/C XXXXXXXX and Cr. to STOCK BUY. Ref:451090509272. AvlBal:Rs42623.81.,Investment
Rs.4502.85 Dr. from A/C XXXXXXXX and Cr. to NETFLIX. Ref:936247979982. AvlBal:Rs46405.28.,Entertainment
Rs.714.41 Dr. from A/C XXXXXXXX and Cr. to MCDONALDS. Ref:435005946798. AvlBal:Rs33212.73.,Food & Dining
Rs.1668.82 Dr. from A/C XXXXXXXX and Cr. to MX PLAYER. Ref:565716645489. AvlBal:Rs16635.05.,Entertainment
Rs.2080.23 Dr. from A/C XXXXXXXX and Cr. to RAPIDO. Ref:746254201950. AvlBal:Rs35090.44.,Transport
Rs.4611.56 Dr. from A/C XXXXXXXX and Cr. to NAYARA ENERGY. Ref:690451474462. AvlBal:Rs10105.28.,Transport
Rs.2867.88 Dr. from A/C XXXXXXXX and Cr. to SWIGGY. Ref:968758663158. AvlBal:Rs36462.52.,Food & Dining
Rs.2379.57 Dr. from A/C XXXXXXXX and Cr. to EDUCATION PAYMENT. Ref:530040168228. AvlBal:Rs32793.4.,Education
Rs.2978.98 Dr. from A/C XXXXXXXX and Cr. to VIJAY SALES. Ref:953093487579. AvlBal:Rs149.45.,Shopping
Rs.439.76 Dr. from A/C XXXXXXXX and Cr. to UPI TRANSFER. Ref:429506237241. AvlBal:Rs30935.09.,Other
Rs.140.24 Dr. from A/C XXXXXXXX and Cr. to STREAMING. Ref:491739234451. AvlBal:Rs42707.06.,Entertainment
Rs.2587.37 Dr. from A/C XXXXXXXX and Cr. to SCHOOL FEES. Ref:528366436493. AvlBal:Rs10380.12.,Education
Rs.2657.62 Dr. from A/C XXXXXXXX and Cr. to 1MG. Ref:518757967486. AvlBal:Rs30022.1.,Health
Rs.1039.69 Dr. from A/C XXXXXXXX and Cr. to ONLINE TRANSFER. Ref:451829487685. AvlBal:Rs7223.16.,Other
Rs.4711.7 Dr. from A/C XXXXXXXX and Cr. to HP GAS. Ref:708667360031. AvlBal:Rs40078.96.,Bills & Utilities
